"";"created_at";"screen_name";"text"
"70";2019-09-04 04:10:17;"leksono_duto";"Berdasarkan kesaksian sopir truk yang selamat dalam kecelakaan maut di Tol Purbaleunyi, kecelakaan diduga berawal dari sebuah dump truk bermuatan pasir yang mengalami rem blong. 

Selengkapnya,
https://t.co/p7pbvyzVWJ

#SeputariNewsRCTI #Kecelakaan #Purbaleunyi #Tol #InfoJalan https://t.co/9MBkVULjwj"
"71";2019-09-03 12:27:40;"leksono_duto";"Puluhan korban terluka dari kecelakaan Tol Purbaleunyi (Cipularang) hingga kini masih dirawat di RS MH Thamrin, RSUD Bayu Asih, RS Siloam, Purwakarta.

#SeputariNewsRCTI #SeputariNewsSiang #Kecelakaan #KecelakaanMaut #TolPurbaleunyi #TolCipularang #Purwakarta https://t.co/Dv4j3hLWeF"
"72";2019-09-06 10:28:48;"leksono_duto";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"73";2019-09-04 10:49:49;"leksono_duto";"Belasan bangkai kendaraan yang terlibat kecelakaan di ruas Tol Purbaleunyi KM 91, Purwakarta, Jawa Barat masih berada di pull Jasa Marga Jatiluhur.

#SeputariNewsRCTI #SeputariNewsSiang #Kecelakaan #TolPurbaleunyi #Purwakarta #JawaBarat #JasaMarga #Jatiluhur https://t.co/sPKKzhwsy1"
"74";2019-09-04 00:09:25;"leksono_duto";"Subana, salah seorang sopir dump truk menceritakan detik-detik kecelakaan yang menimpanya, Senin (2/9) siang, di Tol Purbaleunyi. #TabrakanBeruntun #Kecelakaan #TolPurbaleunyi #iNewsSore #iNews

Saksikan selengkapnya di kanal YouTube Official iNews! https://t.co/u87Zc23nGY https://t.co/0avMhdguRY"
"75";2019-09-03 05:14:21;"leksono_duto";"Dari 8 korban meninggal akibat kecelakaan beruntun di Tol Cipularang, 4 di antaranya sudah berhasil diidentifikasi. Sementara 4 lainnya masih belum teridentifikasi karena kondisi jenazah yang terbakar cukup parah.

#GTVNews #TolCipularang #Kecelakaan #BuletiniNewsPagi https://t.co/29c4wTgKYm"
"76";2019-09-06 10:26:22;"naufalaby";"Bagi Pengendara, hormati Pengguna jalan lain dengan tidak menghisap rokok sembari berkendara. 

Abu dan bara rokok dapat membahayakan penglihatan Pengendara lain ketika masuk ke mata. Iritasi pada mata membuat Pengendara lain menjadi kurang fokus dan dapat menyebabkan #kecelakaan https://t.co/yKt1mE2Fym"
"77";2019-09-03 08:01:31;"MNCNewsroom";"Kecelakaan tabrak beruntun terjadi di KM 91 Tol Cipularang, Purwakarta, Jawa Barat. Akibat kecelakaan 9 orang meninggal dunia. (Sumber : iNews)
. 
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan #cipularang #tolcipularang #jabar https://t.co/Kd4MtEXK84"
"78";2019-09-03 09:11:05;"MNCNewsroom";"Isak tangis menyambut kepulangan jenazah korban kecelakaan maut di Tol Cipularang, Jawa Barat.
. (Sumber : iNews)
. 
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan https://t.co/efVzpuGm35"
"79";2019-09-06 10:15:34;"MNCNewsroom";"Kecelakaan beruntun terjadi di Jalan Boulevard Bintaro Jaya, Pondok Aren, Tangerang Selatan. Insiden yang melibatkan 4 kendaraan pribadi dan 1 truk ini sedang dalam penanganan petugas.

#iNews #Bintaro #Kecelakaan #Macet #BintaroJaya https://t.co/d2lvAelX8R"
"80";2019-09-03 05:02:07;"MNCNewsroom";"Ini dia detik-detik kecelakaan maut di Tol Cipularang
.
(Sumber : MrHardTea &amp; KebacutBaper)
.
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan #cipularang #tolcipularang https://t.co/TDVtEtcDms"
"81";2019-09-03 10:45:19;"MNCNewsroom";"Kecelakaan tabrak beruntun terjadi di KM 91 Tol Cipularang, Purwakarta, Jawa Barat. Akibat kecelakaan 9 orang meninggal dunia
. (Sumber : iNews)
. 
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan https://t.co/KtZ2IrADqS"
"82";2019-09-04 04:02:06;"MNCNewsroom";"Sejak beroperasi 2005 lalu, tol ini selalu memakan korban jiwa karena kecelakaan baik tunggal maupun beruntun. Berikut adalah 5 kecelakaan maut yang terjadi di ruas Tol Cipularang, sejak 2011 hingga 2019.
.
#mncnewsroom #kecelakaan #saifuljamil #tolpurbaleunyi https://t.co/tvL3s3crtV"
"83";2019-09-04 07:18:39;"MNCNewsroom";"Berikut keterangan saksi korban kecelakaan maut di Tol Purbaleunyi.
.
(Sumber : iNews)
.
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan #cipularang #tolcipularang #jabar https://t.co/n7i38HPBAr"
"84";2019-09-03 16:20:00;"vertanewsmedia";"Kronologi lengkap kecelakaan maut Tol Cipularang yang menewaskan 8 orang. 
#verta #vertanews #kecelakaan #TolCipularang 
https://t.co/F4F4cI4tL1"
"85";2019-09-03 14:20:00;"vertanewsmedia";"Pihak Jasa Marga serta kepolisian memberlakukan rekayasa contraflow untuk melakukan evakuasi kendaraan serta pembersihan jalur akibat terjadinya kecelakaan maut Tol Cipularang Km 91, Kabupaten Purwakarta.
#verta #vertanews #kecelakaan #TolCipularang 
https://t.co/HxV5TAF720"
"86";2019-09-05 05:30:00;"vertanewsmedia";"Jadi korban tabrak lari: Kasubbag Humas Polres Langkat meninggal dunia.
#verta #vertanews #Langkat #kecelakaan
https://t.co/aO07is211m"
"87";2019-09-06 10:00:00;"vertanewsmedia";"Kecelakaan maut Cipularang, ada korban yang belum di ambil keluarga. 
#verta #vertanews #kecelakaan #TolCipularang #Cipularang 
https://t.co/RwqrmWTgqp"
"88";2019-09-03 14:40:00;"vertanewsmedia";"Gubernur Jawa Barat, Ridwan Kamil, meminta dishub analisis kecelakaan maut di Tol Cipularang. 
#verta #vertanews #RidwanKamil #kecelakaan #TolCipularang
https://t.co/6bVbhqpKOy"
"89";2019-09-06 09:50:35;"dettien7";"Yg berada di daerah bintaro sekitar cbd bintaro harap berhati2 ada tabrakan beruntun, sebuah truk menabrak bbrp mobil pribadi di depannya. (Recorded 16:16 WIB)
#bintaro #tabrakan #kecelakaan https://t.co/6vtqxq1SoY"
"90";2019-09-06 09:07:18;"Raffyansah_AMV";"Pencabutan SIM sebagai Pidana Tambahan dalam Kecelakaan Lalu Lintas - https://t.co/gdp2Re4eX4
#KlinikHukum #SIM #Pidana #Kecelakaan #Lalulintas #polisiindonesia #Hukum #HukumIndonesia"
"91";2019-09-06 08:05:31;"nurini_mawardah";"Polisi menyebut kecelakaan itu terjadi karena sopir truk berinisial AGS mengantuk saat membawa mobil truk itu. Begini kejadiannya: #Kecelakaan #TolCiledug https://t.co/e4pB1kFDvh"
